Metric,Value,Unit
Installed Capacity,350.00,kWp
Total Energy,"10,643.06",MWh
Capital Investment,"11,891,320.00",THB
Average Savings,"1,709,430.36",THB/Year
O&M Cost,"261,609.04",THB/Year
Average Net Savings,"1,447,821.32",THB/Year
Inverter Replacement,"1,470,000.00",THB
Total 25-Year Savings,"35,248,750.98",THB
ROI,196.42,%
IRR,11.81,%
Payback Period,7 years 5 months,
